ATTRBIUTE|DATA|DESCRIPTION
Acct-Status-Type|32-bit unsigned integer|Supported value are Start (1, Interim Update (3, and Stop (2.
Acct-Event-Timestamp|32-bit unsigned integer|As defined in RFC 2869.
Acct-Delay-Time|32-bit unsigned integer|As defined in RFC 2865.
Acct-Authentic|32-bit unsigned integer|Always set to 1 which means RADIUS.
Chargeable User Identity|string|As defined in RFC-4372. The CUI is used to associate a unique identifier with a user so that the user can be identified (for billing, authentication or other purposes when roaming outside of their home network.
Acct-Session-Time|32-bit unsigned integer|Number of seconds this session since this session was authenticated.
Acct-Input-Octets|32-bit unsigned integer|Low 32-bit value of the number of octets/bytes received by the user.
Acct-Input-Gigawords|32-bit unsigned integer|High 32-bit value of the number of octets/bytes received by the user.
Acct-Input-Octets|32-bit unsigned integer|Number of packets received by the user.
Acct-Output-Octets|32-bit unsigned integer|Low 32-bit value of the number of octets/bytes sent by the user.
Acct-Output-Gigawords|32-bit unsigned integer|High 32-bit value of the number of octets/bytes sent by the user. As defined in 2869.
Acct-Output-Octets|32-bit unsigned integer|Number of packets sent by the user.
Acct-Terminate-Cause|32-bit unsigned integer|Termination cause for the session See RFC 2866 for possible values.
